                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1346,                0.62944,                 1.0277,                0.91938,                0.89194,                0.95905,                0.61303,                 1.1934,                 0.6248,                  1.081,              0.0098367,              0.0098367,              0.0098367
                     36,                 1.1237,                0.63312,                 1.0259,                0.91251,                0.93597,                 0.9599,                0.63359,                 1.1653,                0.59905,                 1.0747,              0.0098317,              0.0098317,              0.0098317
                     37,                 1.1203,                 0.6122,                 1.0329,                0.94499,                0.91234,                0.96443,                0.65974,                 1.1105,                0.60629,                 1.0423,              0.0098268,              0.0098268,              0.0098268
                     38,                 1.1205,                 0.6099,                 1.0168,                0.94412,                 0.8956,                0.96383,                0.62882,                 1.1804,                0.59878,                 1.0869,              0.0098218,              0.0098218,              0.0098218
                     39,                 1.1306,                0.60781,                 1.0399,                0.95848,                0.92308,                0.97248,                0.64206,                 1.1543,                0.57714,                 1.0552,              0.0098169,              0.0098169,              0.0098169
                     40,                 1.0908,                0.60062,                 1.0216,                 0.9346,                0.89194,                0.95069,                0.59594,                  1.243,                0.62438,                 1.0836,              0.0098119,              0.0098119,              0.0098119
                     41,                 1.1103,                0.60948,                 1.0181,                 0.9235,                0.92864,                0.96991,                0.66495,                 1.0837,                0.55917,                 1.0316,               0.009807,               0.009807,               0.009807
                     42,                 1.1234,                0.60881,                   1.03,                0.93029,                0.88278,                0.93495,                0.59059,                 1.2078,                 0.6212,                 1.0917,               0.009802,               0.009802,               0.009802
                     43,                 1.0972,                0.59406,                 1.0228,                0.93846,                0.89372,                0.96749,                0.64805,                 1.1024,                0.58279,                 1.0433,               0.009797,               0.009797,               0.009797
                     44,                 1.1016,                0.60638,                   1.03,                 0.9295,                0.89348,                0.95419,                0.61437,                 1.1768,                0.59504,                 1.0762,              0.0097921,              0.0097921,              0.0097921
                     45,                 1.0919,                0.60371,                 1.0158,                  0.938,                0.88673,                 0.9502,                0.61574,                 1.1989,                0.60925,                 1.0912,              0.0097871,              0.0097871,              0.0097871
                     46,                 1.0952,                0.59571,                 1.0289,                0.94923,                0.89744,                0.96257,                0.65828,                 1.0651,                0.56087,                 1.0277,              0.0097822,              0.0097822,              0.0097822
                     47,                 1.0821,                0.59391,                 1.0145,                0.93281,                0.91535,                0.96347,                0.67028,                 1.0824,                0.54921,                 1.0469,              0.0097773,              0.0097773,              0.0097773
                     48,                 1.0761,                0.59136,                 1.0245,                0.90731,                 0.9143,                 0.9484,                0.59608,                 1.2441,                0.61237,                 1.1066,              0.0097723,              0.0097723,              0.0097723
                     49,                 1.0945,                0.59142,                 1.0222,                0.95938,                0.90836,                 0.9665,                0.63607,                 1.1502,                0.57878,                 1.0858,              0.0097674,              0.0097674,              0.0097674
                     50,                 1.0698,                0.57144,                 1.0066,                0.95026,                0.90973,                0.96373,                0.65518,                 1.1239,                0.58189,                 1.0548,              0.0097624,              0.0097624,              0.0097624
                     51,                 1.0612,                 0.5793,                 1.0027,                0.95743,                0.92125,                0.97092,                0.65471,                 1.1216,                0.56907,                 1.0379,              0.0097575,              0.0097575,              0.0097575
                     52,                 1.0328,                0.57984,                 1.0148,                 0.9442,                0.94139,                0.97566,                0.66464,                 1.0865,                0.53902,                 1.0503,              0.0097525,              0.0097525,              0.0097525
                     53,                  1.038,                0.57584,                 1.0065,                0.93814,                 0.8889,                0.96402,                0.65288,                 1.1113,                0.56095,                 1.0471,              0.0097476,              0.0097476,              0.0097476
                     54,                  1.078,                0.58535,                 1.0074,                0.93945,                0.90935,                 0.9658,                0.66043,                 1.0956,                0.54824,                 1.0527,              0.0097426,              0.0097426,              0.0097426
                     55,                 1.0435,                0.57582,                 1.0022,                0.94801,                 0.9359,                 0.9694,                0.66678,                 1.0797,                0.52144,                 1.0424,              0.0097377,              0.0097377,              0.0097377
                     56,                 1.0263,                0.55057,                 1.0024,                0.96544,                0.92085,                0.97142,                0.66376,                 1.0794,                0.53001,                 1.0376,              0.0097327,              0.0097327,              0.0097327
                     57,                 1.0304,                0.54594,                 0.9993,                0.92805,                0.94505,                0.97074,                0.64129,                 1.1262,                0.56105,                 1.0603,              0.0097278,              0.0097278,              0.0097278
                     58,                 1.0581,                0.56014,                 1.0045,                0.93092,                0.93223,                0.96983,                0.65434,                 1.1488,                0.54536,                 1.0663,              0.0097228,              0.0097228,              0.0097228
                     59,                 1.0208,                0.54701,                0.98965,                 0.9289,                 0.9359,                0.97534,                0.63826,                 1.1683,                0.56982,                 1.0702,              0.0097179,              0.0097179,              0.0097179
                     60,                 1.0498,                0.56595,                 1.0054,                0.95241,                0.91641,                 0.9762,                0.66697,                 1.1005,                 0.5425,                 1.0582,              0.0097129,              0.0097129,              0.0097129
                     61,                 1.0405,                0.55294,                 0.9963,                0.93502,                0.91392,                0.96855,                0.67544,                 1.0593,                0.53759,                 1.0349,               0.009708,               0.009708,               0.009708
                     62,                 1.0169,                   0.55,                 0.9946,                0.92752,                0.91404,                0.96911,                0.65797,                 1.0973,                0.53492,                 1.0469,               0.009703,               0.009703,               0.009703
                     63,                 1.0193,                0.55797,                0.98735,                0.93763,                0.93607,                  0.969,                0.67807,                 1.0398,                0.51548,                  1.024,               0.009698,               0.009698,               0.009698
                     64,                  1.023,                0.54917,                0.99132,                0.96003,                0.91758,                 0.9729,                0.66009,                 1.0614,                0.51169,                  1.032,              0.0096931,              0.0096931,              0.0096931
                     65,                0.99447,                0.54156,                0.98665,                0.94085,                0.93226,                0.97209,                0.63637,                 1.1927,                 0.5464,                 1.0853,              0.0096881,              0.0096881,              0.0096881
                     66,                 1.0105,                0.53974,                0.97772,                0.95001,                0.91758,                0.96702,                0.66851,                 1.0979,                0.52148,                 1.0444,              0.0096832,              0.0096832,              0.0096832
