                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1356,                0.64096,                0.98389,                0.92362,                0.91758,                0.96432,                0.63401,                 1.1343,                0.59632,                 1.0065,              0.0096733,              0.0096733,              0.0096733
                     36,                  1.133,                0.65247,                0.98768,                0.92156,                0.88224,                0.94943,                 0.6298,                 1.1525,                 0.6361,                 1.0194,              0.0096634,              0.0096634,              0.0096634
                     37,                  1.122,                0.64088,                0.98955,                0.93713,                0.90097,                0.96077,                0.65633,                 1.1064,                0.59336,                 1.0049,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.1395,                0.62483,                0.98452,                0.94156,                0.91469,                0.96917,                0.63259,                 1.1737,                0.61173,                 1.0132,              0.0096436,              0.0096436,              0.0096436
                     39,                  1.121,                0.62673,                0.98983,                0.95441,                0.90842,                0.97732,                0.65081,                 1.1285,                 0.5783,                 1.0006,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.0914,                0.61627,                0.97772,                0.93226,                0.92491,                0.96705,                0.60809,                 1.2026,                0.63911,                 1.0302,              0.0096238,              0.0096238,              0.0096238
                     41,                  1.111,                0.61767,                0.97896,                0.92977,                 0.9214,                 0.9702,                0.66739,                 1.0987,                0.59186,                 1.0093,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.1316,                0.62432,                 0.9906,                0.92113,                0.92125,                0.95979,                0.61723,                 1.1782,                0.62321,                 1.0268,               0.009604,               0.009604,               0.009604
                     43,                 1.1061,                0.61516,                0.98341,                0.95656,                0.92755,                 0.9664,                0.65591,                 1.1038,                0.57603,                 1.0027,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.1148,                0.61764,                0.99077,                0.93237,                0.90905,                0.96327,                0.61028,                 1.1962,                0.60111,                 1.0312,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.0995,                0.61979,                0.98216,                0.94275,                0.90479,                0.96452,                0.64624,                 1.1591,                0.60206,                 1.0128,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.0984,                0.61227,                0.98309,                0.93056,                0.88364,                0.94982,                 0.6083,                 1.2127,                  0.644,                 1.0532,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.0861,                0.60258,                0.97569,                0.93854,                0.91026,                0.96251,                0.63689,                 1.1607,                0.59134,                  1.029,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.0799,                0.60614,                  0.982,                0.92473,                0.89998,                0.95249,                  0.639,                 1.1689,                0.59104,                 1.0301,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.1154,                0.61255,                0.98153,                0.94517,                0.91758,                0.96532,                0.64166,                 1.1597,                0.59346,                 1.0143,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.0777,                0.60079,                0.96677,                0.95505,                0.91209,                0.96722,                 0.6358,                 1.1674,                0.59157,                 1.0189,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.0576,                0.58576,                0.95699,                0.93604,                0.91126,                0.96629,                0.63788,                 1.1733,                0.59648,                 1.0185,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.0496,                0.59636,                0.97058,                0.95216,                0.90476,                0.96337,                0.64762,                 1.1184,                 0.5721,                  1.015,               0.009505,               0.009505,               0.009505
                     53,                 1.0534,                0.59158,                0.96633,                0.94218,                0.91026,                0.96415,                0.63371,                 1.1607,                0.59243,                 1.0181,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.0635,                0.59156,                 0.9629,                0.94578,                0.92125,                0.96991,                0.65524,                 1.1398,                0.58345,                 1.0108,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.0584,                0.59018,                0.96716,                0.95437,                0.92491,                0.97155,                0.65648,                 1.1101,                0.55213,                 1.0111,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.0518,                 0.5803,                0.96853,                0.94333,                0.94507,                0.98073,                0.66582,                 1.0701,                0.54243,                0.99193,              0.0094654,              0.0094654,              0.0094654
                     57,                  1.033,                0.57053,                0.95813,                0.92922,                0.91209,                0.97052,                0.64054,                  1.136,                0.57959,                 1.0005,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.0561,                0.58132,                0.96306,                   0.95,                0.90485,                 0.9583,                0.65038,                 1.1188,                0.58658,                0.99346,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.0424,                0.57244,                0.95094,                0.94643,                0.93831,                0.97415,                0.66388,                 1.0992,                0.55782,                0.98122,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.0516,                0.58075,                0.96492,                0.95559,                0.91575,                0.97001,                0.65286,                 1.1375,                0.55493,                 1.0083,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.0568,                0.58046,                0.95469,                0.93427,                0.91575,                0.96385,                0.65997,                 1.1155,                0.54793,                 1.0134,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.0188,                0.56756,                0.95333,                0.94108,                0.90693,                0.96154,                0.63424,                 1.1784,                0.57904,                 1.0172,               0.009406,               0.009406,               0.009406
                     63,                 1.0522,                0.58211,                0.96048,                 0.9564,                0.92394,                0.97842,                0.68268,                 1.0809,                0.54926,                0.98155,              0.0093961,              0.0093961,              0.0093961
                     64,                  1.039,                0.57682,                0.95185,                0.97019,                0.89744,                0.97358,                0.66047,                 1.0988,                0.56012,                0.98982,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.0199,                0.57637,                0.95349,                0.93958,                0.93996,                0.97537,                0.67325,                  1.098,                0.54867,                0.99549,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.0295,                0.56619,                 0.9499,                0.95461,                0.92446,                0.96696,                0.66161,                 1.1164,                 0.5451,                 1.0012,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.0265,                0.55611,                0.96006,                0.93272,                0.90659,                0.96011,                0.60657,                 1.2255,                0.60448,                 1.0476,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.0211,                0.55421,                 0.9481,                0.94096,                  0.934,                0.97084,                0.64485,                  1.159,                 0.5717,                 1.0237,              0.0093466,              0.0093466,              0.0093466
                     69,                0.99735,                0.54914,                0.94049,                0.94069,                0.94505,                0.97507,                0.68147,                 1.0886,                0.55216,                0.97639,              0.0093367,              0.0093367,              0.0093367
                     70,                0.99339,                0.55308,                0.94786,                 0.9791,                0.94379,                0.97849,                0.69271,                 1.0557,                0.53298,                0.98379,              0.0093268,              0.0093268,              0.0093268
                     71,                0.99974,                0.55814,                0.94601,                0.96243,                0.93831,                0.97757,                0.67467,                 1.0945,                0.54747,                0.99541,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.0294,                0.57038,                0.95361,                0.93374,                0.92491,                0.96839,                0.66344,                 1.0839,                0.54481,                0.99581,               0.009307,               0.009307,               0.009307
                     73,                      1,                0.54043,                0.94596,                0.97437,                0.90532,                0.96873,                0.66217,                 1.0955,                0.54154,                 1.0013,              0.0092971,              0.0092971,              0.0092971
                     74,                0.99397,                0.54853,                0.94523,                0.96117,                0.95238,                0.97952,                0.66387,                 1.1168,                0.53572,                 1.0017,              0.0092872,              0.0092872,              0.0092872
                     75,                0.99104,                0.54832,                0.93749,                0.95659,                0.94139,                0.97225,                0.69166,                  1.057,                0.53462,                0.98125,              0.0092773,              0.0092773,              0.0092773
                     76,                0.98746,                0.54196,                0.94791,                0.96149,                0.92674,                0.97158,                0.66526,                 1.0801,                0.53961,                0.98926,              0.0092674,              0.0092674,              0.0092674
                     77,                0.97847,                 0.5338,                0.93271,                0.96027,                0.94322,                0.98366,                0.69093,                 1.0379,                 0.5145,                0.98682,              0.0092575,              0.0092575,              0.0092575
                     78,                 0.9827,                0.52834,                0.94207,                0.94899,                0.93407,                 0.9722,                0.66269,                 1.0835,                0.52224,                0.98709,              0.0092476,              0.0092476,              0.0092476
                     79,                0.98544,                0.54327,                0.92971,                0.95012,                0.92674,                0.97322,                0.68383,                 1.0618,                0.51828,                0.97699,              0.0092377,              0.0092377,              0.0092377
                     80,                0.96274,                 0.5385,                0.93556,                0.94532,                0.94872,                0.97462,                 0.6755,                 1.0686,                0.52223,                 0.9893,              0.0092278,              0.0092278,              0.0092278
                     81,                0.97522,                0.53477,                0.93712,                0.96153,                 0.9156,                0.96606,                0.66114,                 1.1244,                0.54695,                 1.0029,              0.0092179,              0.0092179,              0.0092179
