                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1995,                 0.6934,                 1.0064,                0.91936,                0.85615,                0.93688,                0.56545,                 1.3057,                0.72532,                 1.0517,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.2036,                0.70199,                 1.0079,                0.91328,                0.88462,                0.94948,                0.59747,                 1.2499,                0.69152,                 1.0556,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.1952,                0.69285,                 1.0115,                 0.9117,                0.88875,                0.94522,                0.61082,                 1.1916,                0.70135,                 1.0345,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.2021,                0.70037,                 1.0048,                0.93183,                0.88278,                0.94772,                0.59598,                 1.2897,                0.70671,                 1.0507,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.1825,                 0.6784,                 1.0146,                0.94153,                 0.8956,                0.96118,                0.62498,                 1.1942,                0.64604,                 1.0291,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.1639,                0.68093,                 1.0014,                0.92949,                0.88462,                0.95373,                0.59315,                 1.2656,                0.68727,                 1.0572,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.1792,                0.68517,                0.99709,                0.91707,                0.91141,                0.96389,                0.63476,                 1.1752,                0.65022,                 1.0233,              0.0096139,              0.0096139,              0.0096139
                     42,                  1.185,                0.67929,                 1.0023,                0.93651,                0.91026,                0.96091,                0.61607,                 1.1767,                0.64651,                 1.0309,               0.009604,               0.009604,               0.009604
                     43,                 1.1695,                0.66724,                  0.995,                0.94273,                0.89377,                0.96393,                0.62412,                 1.1901,                0.64151,                 1.0238,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.1885,                0.67184,                 1.0125,                 0.9518,                0.90416,                0.97146,                0.64013,                 1.1693,                0.61183,                 1.0182,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.1562,                0.65949,                0.99703,                0.92547,                0.92308,                0.95992,                0.64049,                 1.1407,                0.63033,                 1.0154,              0.0095743,              0.0095743,              0.0095743
